iter	Passed	Remaining
620	3665	2236
621	3666	2227
622	3667	2219
623	3668	2210
624	3670	2202
625	3671	2193
626	3672	2184
627	3673	2176
628	3677	2168
629	3680	2161
630	3681	2152
631	3682	2144
632	3683	2135
633	3685	2127
634	3688	2119
635	3689	2111
636	3690	2103
637	3693	2095
638	3695	2087
639	3696	2079
640	3702	2073
641	3704	2065
642	3705	2057
643	3708	2050
644	3711	2042
645	3713	2034
646	3715	2027
647	3716	2019
648	3718	2010
649	3719	2002
650	3720	1994
651	3722	1986
652	3729	1981
653	3734	1975
654	3736	1967
655	3737	1959
656	3738	1951
657	3739	1943
658	3742	1936
659	3743	1928
660	3744	1920
661	3746	1912
662	3747	1904
663	3748	1896
664	3749	1888
665	3750	1881
666	3751	1873
667	3752	1865
668	3753	1857
669	3754	1849
670	3756	1841
671	3759	1834
672	3761	1827
673	3762	1819
674	3763	1811
675	3764	1804
676	3765	1796
677	3766	1788
678	3767	1781
679	3768	1773
680	3771	1766
681	3772	1759
682	3774	1751
683	3776	1744
684	3777	1737
685	3778	1729
686	3780	1722
687	3781	1714
688	3782	1707
689	3784	1700
690	3791	1695
691	3792	1688
692	3794	1680
693	3795	1673
694	3796	1665
695	3797	1658
696	3798	1651
697	3799	1643
698	3800	1636
699	3801	1629
700	3804	1622
701	3805	1615
702	3807	1608
703	3808	1601
704	3809	1594
705	3810	1586
706	3811	1579
707	3812	1572
708	3815	1566
709	3820	1560
710	3821	1553
711	3822	1546
712	3824	1539
713	3825	1532
714	3826	1525
715	3827	1518
716	3828	1511
717	3834	1505
718	3835	1498
719	3836	1491
720	3837	1484
721	3838	1478
722	3839	1471
723	3840	1464
724	3841	1457
725	3842	1450
726	3844	1443
727	3846	1437
728	3847	1430
729	3850	1424
730	3852	1417
731	3853	1410
732	3854	1404
733	3855	1397
734	3856	1390
735	3857	1383
736	3858	1376
737	3861	1370
738	3864	1365
739	3865	1358
740	3866	1351
741	3867	1344
742	3868	1338
743	3869	1331
744	3871	1324
745	3872	1318
746	3873	1311
747	3875	1305
748	3876	1299
749	3877	1292
750	3883	1287
751	3885	1281
752	3886	1274
753	3887	1268
754	3889	1262
755	3891	1256
756	3893	1249
757	3894	1243
758	3895	1236
759	3898	1231
760	3900	1224
761	3901	1218
762	3902	1212
763	3905	1206
764	3907	1200
765	3908	1194
766	3909	1187
767	3913	1182
768	3914	1175
769	3915	1169
770	3916	1163
771	3917	1156
772	3919	1151
773	3920	1144
774	3921	1138
775	3922	1132
776	3923	1126
777	3925	1119
778	3926	1113
779	3927	1107
780	3929	1101
781	3931	1096
782	3933	1090
783	3935	1084
784	3937	1078
785	3938	1072
786	3939	1066
787	3940	1060
788	3941	1053
789	3944	1048
790	3945	1042
791	3946	1036
792	3948	1030
793	3964	1028
794	3966	1022
795	3967	1016
796	3968	1010
797	3970	1004
798	3971	998
799	3972	993
800	3973	987
801	3974	981
802	3975	975
803	3977	969
804	3978	963
805	3981	958
806	3983	952
807	3984	946
808	3985	940
809	3986	935
810	3987	929
811	3988	923
812	3989	917
813	3990	911
814	3991	906
815	3993	900
816	3995	894
817	3996	889
818	3997	883
819	3998	877
820	4000	872
821	4001	866
822	4002	860
823	4004	855
824	4015	851
825	4019	846
826	4020	841
827	4022	835
828	4023	829
829	4024	824
830	4026	818
831	4027	813
832	4028	807
833	4030	802
834	4032	796
835	4040	792
836	4043	787
837	4044	781
838	4046	776
839	4047	770
840	4048	765
841	4052	760
842	4054	755
843	4055	749
844	4056	744
845	4058	738
846	4059	733
847	4060	727
848	4061	722
849	4062	716
850	4071	712
851	4073	707
852	4074	702
853	4075	696
854	4076	691
855	4077	685
856	4084	681
857	4093	677
858	4094	672
859	4099	667
860	4100	662
861	4102	656
862	4104	651
863	4108	646
864	4109	641
865	4112	636
866	4114	631
867	4115	625
868	4116	620
869	4117	615
870	4118	610
871	4120	604
872	4121	599
873	4122	594
874	4123	589
875	4125	584
876	4127	578
877	4128	573
878	4129	568
879	4130	563
880	4131	558
881	4132	552
882	4133	547
883	4135	542
884	4138	537
885	4141	532
886	4142	527
887	4143	522
888	4144	517
889	4145	512
890	4146	507
891	4147	502
892	4148	497
893	4149	492
894	4150	486
895	4151	481
896	4155	477
897	4157	472
898	4158	467
899	4159	462
900	4160	457
901	4161	452
902	4162	447
903	4163	442
904	4164	437
905	4165	432
906	4171	427
907	4172	422
908	4173	417
909	4174	412
910	4175	407
911	4176	403
912	4177	398
913	4178	393
914	4179	388
915	4183	383
916	4185	378
917	4187	374
918	4188	369
919	4190	364
920	4191	359
921	4192	354
922	4193	349
923	4194	345
924	4195	340
925	4196	335
926	4200	330
927	4203	326
928	4204	321
929	4205	316
930	4206	311
931	4207	306
932	4208	302
933	4209	297
934	4210	292
935	4212	288
936	4218	283
937	4219	278
938	4220	274
939	4221	269
940	4222	264
941	4223	260
942	4224	255
943	4225	250
944	4226	246
945	4228	241
946	4230	236
947	4232	232
948	4234	227
949	4235	222
950	4236	218
951	4237	213
952	4238	209
953	4239	204
954	4240	199
955	4241	195
956	4245	190
957	4249	186
958	4250	181
959	4251	177
960	4252	172
961	4253	168
962	4254	163
963	4255	158
964	4256	154
965	4257	149
966	4259	145
967	4260	140
968	4265	136
969	4267	131
970	4269	127
971	4270	123
972	4271	118
973	4273	114
974	4276	109
975	4277	105
976	4279	100
977	4282	96
978	4283	91
979	4284	87
980	4285	83
981	4286	78
982	4290	74
983	4292	69
984	4293	65
985	4296	61
986	4297	56
987	4299	52
988	4300	47
989	4302	43
990	4304	39
991	4305	34
992	4306	30
993	4307	26
994	4308	21
995	4309	17
996	4311	12
997	4314	8
998	4316	4
999	4317	0
